Date,Close,Volume
2018-06-29,34.1,0
2018-07-02,35.01,0
2018-07-03,34.75,0
2018-07-05,34.78,0
2018-07-06,33.54,0
2018-07-09,33.08,0
2018-07-10,31.34,0
2018-07-11,32.7,0
2018-07-12,32.54,0
2018-07-13,32.96,0
2018-07-16,31.97,0
2018-07-17,31.14,0
2018-07-18,31.79,0
2018-07-19,33.31,0
2018-07-20,32.23,0
2018-07-23,33.29,0
2018-07-24,32.51,0
2018-07-25,32.0,0
2018-07-26,32.13,0
2018-07-27,31.29,0
2018-07-30,31.65,0
2018-07-31,32.18,0
2018-08-01,31.64,0
2018-08-02,32.42,0
2018-08-03,32.71,0
2018-08-06,34.23,0
2018-08-07,35.41,0
2018-08-08,34.79,0
2018-08-09,35.11,0
2018-08-10,38.56,0
2018-08-13,34.17,0
2018-08-14,31.82,0
2018-08-15,34.71,0
2018-08-16,34.81,0
2018-08-17,37.07,0
2018-08-20,37.9,0
2018-08-21,40.85,0
2018-08-22,40.08,0
2018-08-23,43.36,0
2018-08-24,43.6,0
2018-08-27,44.98,0
2018-08-28,46.13,0
2018-08-29,45.98,0
2018-08-30,47.91,0
2018-08-31,46.65,0
2018-09-04,51.7,0
2018-09-05,51.88,0
2018-09-06,50.98,0
2018-09-07,51.31,0
2018-09-10,52.87,0
2018-09-11,53.04,0
2018-09-12,52.77,0
2018-09-13,55.02,0
2018-09-14,54.43,0
2018-09-17,54.64,0
2018-09-18,49.98,0
2018-09-19,45.36,0
2018-09-20,44.84,0
2018-09-21,45.74,0
2018-09-24,48.55,0
2018-09-25,48.41,0
2018-09-26,47.65,0
2018-09-27,48.59,0
2018-09-28,48.25,0
2018-10-01,48.36,0
2018-10-02,49.49,0
2018-10-03,50.08,0
2018-10-04,52.28,0
2018-10-05,55.66,0
2018-10-08,46.38,0
2018-10-09,45.09,0
2018-10-10,51.01,0
2018-10-11,47.0,0
2018-10-12,40.9,0
2018-10-15,40.84,0
2018-10-16,38.31,0
2018-10-17,39.08,0
2018-10-18,41.34,0
2018-10-19,41.56,0
2018-10-22,41.12,0
2018-10-23,42.05,0
2018-10-24,46.41,0
2018-10-25,44.65,0
2018-10-26,46.85,0
2018-10-29,43.17,0
2018-10-30,41.67,0
2018-10-31,41.48,0
2018-11-01,40.81,0
2018-11-02,40.05,0
2018-11-05,40.38,0
2018-11-06,39.97,0
2018-11-07,38.72,0
2018-11-08,39.38,0
2018-11-09,39.16,0
2018-11-12,41.18,0
2018-11-13,40.52,0
2018-11-14,39.47,0
2018-11-15,38.44,0
2018-11-16,36.53,0
2018-11-19,36.66,0
2018-11-20,39.67,0
2018-11-21,37.23,0
2018-11-23,37.82,0
2018-11-26,39.76,0
2018-11-27,37.41,0
2018-11-28,36.47,0
2018-11-29,36.38,0
2018-11-30,35.04,0
2018-12-03,32.8,0
2018-12-04,33.9,0
2018-12-06,34.17,0
2018-12-07,34.87,0
2018-12-10,36.51,0
2018-12-11,35.59,0
2018-12-12,34.17,0
2018-12-13,32.54,0
2018-12-14,33.33,0
2018-12-17,34.77,0
2018-12-18,34.68,0
2018-12-19,35.8,0
2018-12-20,35.52,0
2018-12-21,35.93,0
2018-12-24,38.03,0
2018-12-26,37.09,0
2018-12-27,37.43,0
2018-12-28,37.28,0
2018-12-31,37.02,0
2019-01-02,36.17,0
2019-01-03,35.98,0
2019-01-04,34.57,0
2019-01-07,34.51,0
2019-01-08,33.85,0
2019-01-09,31.86,0
2019-01-10,31.93,0
2019-01-11,30.84,0
2019-01-14,32.73,0
2019-01-15,32.48,0
2019-01-16,30.88,0
2019-01-17,31.31,0
2019-01-18,30.06,0
2019-01-22,33.35,0
2019-01-23,32.46,0
2019-01-24,32.08,0
2019-01-25,32.37,0
2019-01-28,33.9,0
2019-01-29,33.02,0
2019-01-30,32.19,0
2019-01-31,32.0,0
2019-02-01,30.61,0
2019-02-04,31.3,0
2019-02-05,30.7,0
2019-02-06,33.2,0
2019-02-07,32.26,0
2019-02-08,31.51,0
2019-02-11,31.91,0
2019-02-12,31.77,0
2019-02-13,30.92,0
2019-02-14,29.89,0
2019-02-15,31.04,0
2019-02-19,31.82,0
2019-02-20,31.93,0
2019-02-21,30.89,0
2019-02-22,29.46,0
2019-02-25,30.24,0
2019-02-26,29.28,0
2019-02-27,28.98,0
2019-02-28,29.97,0
2019-03-01,30.28,0
2019-03-04,30.96,0
2019-03-05,30.29,0
2019-03-06,31.81,0
2019-03-07,31.86,0
2019-03-08,31.09,0
2019-03-11,29.2,0
2019-03-12,28.43,0
2019-03-13,28.27,0
2019-03-14,28.48,0
2019-03-15,27.92,0
2019-03-18,28.44,0
2019-03-19,28.4,0
2019-03-20,30.16,0
2019-03-21,31.61,0
2019-03-22,37.61,0
2019-03-25,36.03,0
2019-03-26,33.11,0
2019-03-27,37.7,0
2019-03-28,35.96,0
2019-03-29,34.82,0
2019-04-01,32.51,0
2019-04-02,31.25,0
2019-04-03,32.4,0
2019-04-04,31.59,0
2019-04-05,30.23,0
2019-04-08,30.06,0
2019-04-09,30.08,0
2019-04-10,29.31,0
2019-04-11,30.17,0
2019-04-12,32.15,0
2019-04-15,31.35,0
2019-04-16,31.28,0
2019-04-17,31.95,0
2019-04-18,30.72,0
2019-04-22,31.7,0
2019-04-23,31.02,0
2019-04-24,31.63,0
2019-04-25,30.66,0
2019-04-26,30.48,0
2019-04-29,31.12,0
2019-04-30,30.24,0
2019-05-01,31.03,0
2019-05-02,30.55,0
2019-05-03,29.73,0
2019-05-06,32.39,0
2019-05-07,33.7,0
2019-05-08,33.21,0
2019-05-09,34.36,0
2019-05-10,33.48,0
2019-05-13,36.77,0
2019-05-14,34.21,0
2019-05-15,33.98,0
2019-05-16,34.35,0
2019-05-17,34.93,0
2019-05-20,35.55,0
2019-05-21,33.29,0
2019-05-22,33.01,0
2019-05-23,32.93,0
2019-05-24,32.3,0
2019-05-28,32.77,0
2019-05-29,32.41,0
2019-05-30,32.95,0
2019-05-31,33.14,0
2019-06-03,33.47,0
2019-06-04,32.84,0
2019-06-05,34.11,0
2019-06-06,33.04,0
2019-06-07,31.81,0
2019-06-10,33.1,0
2019-06-11,32.17,0
2019-06-12,32.47,0
2019-06-13,31.99,0
2019-06-14,33.17,0
2019-06-17,33.53,0
2019-06-18,32.66,0
2019-06-19,30.83,0
2019-06-20,29.9,0
2019-06-21,29.84,0
2019-06-24,30.89,0
2019-06-25,32.86,0
2019-06-26,31.82,0
2019-06-27,31.69,0
2019-06-28,31.75,0
2019-07-01,31.52,0
2019-07-02,32.28,0
2019-07-03,31.98,0
2019-07-05,30.35,0
2019-07-08,31.38,0
2019-07-09,30.9,0
2019-07-10,28.86,0
2019-07-11,27.34,0
2019-07-12,27.94,0
2019-07-15,27.28,0
2019-07-16,27.12,0
2019-07-17,26.99,0
2019-07-18,25.84,0
2019-07-19,26.77,0
2019-07-22,27.59,0
2019-07-23,27.84,0
2019-07-24,27.21,0
2019-07-25,28.49,0
2019-07-26,27.28,0
2019-07-29,28.4,0
2019-07-30,28.71,0
2019-07-31,29.44,0
2019-08-01,30.53,0
2019-08-02,29.5,0
2019-08-05,34.21,0
2019-08-06,32.41,0
